IP:PORT, LOSS, DELAY
162.159.195.226:943,0.00%,144 ms
162.159.195.226:4500,0.00%,146 ms
162.159.195.11:4500,0.00%,151 ms
162.159.195.160:4500,0.00%,152 ms
162.159.192.191:4500,0.00%,153 ms
162.159.195.48:4500,0.00%,156 ms
162.159.195.136:4500,0.00%,156 ms
162.159.192.191:943,0.00%,158 ms
162.159.192.87:943,0.00%,158 ms
162.159.192.47:4500,0.00%,158 ms
162.159.192.109:4500,0.00%,159 ms
162.159.195.39:4500,0.00%,159 ms
162.159.195.38:943,0.00%,159 ms
162.159.195.39:943,0.00%,159 ms
162.159.192.106:928,0.00%,241 ms
188.114.99.249:928,0.00%,242 ms
162.159.195.89:890,0.00%,242 ms
188.114.97.134:928,0.00%,243 ms
188.114.98.248:890,0.00%,248 ms
188.114.99.239:890,0.00%,248 ms
188.114.96.232:890,0.00%,249 ms
162.159.192.104:890,0.00%,255 ms
188.114.98.206:890,0.00%,261 ms
188.114.98.29:890,0.00%,265 ms
188.114.98.52:890,0.00%,267 ms
162.159.192.191:928,0.00%,267 ms
188.114.99.96:928,0.00%,272 ms
188.114.96.155:928,0.00%,272 ms
188.114.96.208:928,0.00%,273 ms
162.159.195.86:928,0.00%,276 ms
162.159.195.86:890,0.00%,276 ms
162.159.195.157:928,0.00%,290 ms
162.159.195.190:890,0.00%,296 ms
